ID_SCUOLA;CODICE_SCUOLA;DENOMINAZIONE;TIPO_SCUOLA;ENTE;REGIONE;PROVINCIA;COMUNE;CAP;INDIRIZZO;TELEFONO;LIVELLO_FUNZIONALE;CODICE_SCUOLA_RIFERIMENTO;TIPOLOGIA;TIPOLOGIA_SEDE;PARITA;CODICE_ISTAT;
1916;FGRI023523;IST.PROF,LE PER L'INDUSTRIA E ARTIG. -SERALE;ISTITUTO PROFESSIONALE INDUSTRIA E ARTIGIANATO;Statale;PUGLIA;BARLETTA - ANDRIA - TRANI;SAN FERDINANDO DI PUGLIA;71046;VIA PIANTATA, 40;;CORSO SERALE;FGRI02301L;SS;;;110007;
1951;FGTD02351L;IGNAZIO SILONE  (CORSO SERALE);ISTITUTO TECNICO COMMERCIALE E PER GEOMETRI;Statale;PUGLIA;BARLETTA - ANDRIA - TRANI;SAN FERDINANDO DI PUGLIA;71046;VIA PIANTATA, 40;0883 621066;CORSO SERALE;FGTD023017;SS;;;110007;
10819;BAIS046009;N. GARRONE;ISTITUTO SUPERIORE;Statale;PUGLIA;BARLETTA - ANDRIA - TRANI;BARLETTA;76121;VIA M. CASSANDRO, 2;0883 575875;ISTITUTO PRINCIPALE;;IS;;;110002;
8909;BAPMX00085;ISTITUTO MAGISTRALE SAN PAOLO;LICEO SCIENZE SOCIALI (ex IST. MAGISTRALE);Non statale;PUGLIA;BARLETTA - ANDRIA - TRANI;TRANI;70059;CORSO DE GASPERI, 35;0883 485483;;;;LEGALMENTE RICONOSCIUTA;;110009;
9221;BATDX00396;EINAUDI;ISTITUTO TECNICO COMMERCIALE;Statale;PUGLIA;BARLETTA - ANDRIA - TRANI;BISCEGLIE;76011;VIA MESSENAPE, 24;;;;;;;110003;
9031;BAPC21000E;LICEO GINNASIO DE SANCTIS;LICEO CLASSICO;Statale;PUGLIA;BARLETTA - ANDRIA - TRANI;TRANI;70059;VIA TASSELGARDO, 1/A;0883 481359;;;;;;110009;
8860;BAPSX00037;LICEO SCIENTIFICO STATALE;LICEO SCIENTIFICO;Statale;PUGLIA;BARLETTA - ANDRIA - TRANI;BARLETTA;76121;VIA PATALINI;0883 532705;ISTITUTO PRINCIPALE;;;;;110002;
9384;BATDX00559;DAVANZATI;ISTITUTO TECNICO COMMERCIALE;Statale;PUGLIA;BARLETTA - ANDRIA - TRANI;TRANI;70059;;;;;;;;110009;
8167;FGIS023001;IGNAZIO SILONE;ISTITUTO SUPERIORE;Statale;PUGLIA;BARLETTA - ANDRIA - TRANI;SAN FERDINANDO DI PUGLIA;71046;VIA GRAMSCI;0883 621066;ISTITUTO PRINCIPALE;;IS;;;110007;
8168;FGIS02600C;SCIPIONE STAFFA;ISTITUTO SUPERIORE;Statale;PUGLIA;BARLETTA - ANDRIA - TRANI;TRINITAPOLI;76015;VIA CAPPUCCINI, 23;0883 632834;ISTITUTO PRINCIPALE;;IS;;;110010;
