ID_UNIVERSITA;NOME;STATALE;VIA;CAP;COD_COMUNE;COMUNE;PROVINCIA;COD_TIPO_STRUTTURA_ATENEO;NOTA;ANNO_INTRODUZIONE;
S24;Scuola Superiore per Mediatori Linguistici di Cuneo;Non Statale;;;004078;CUNEO;CN;SSML - LING;D.D. 30.9.2005 di istituzione, pubblicato su G.U. n. 252 del 28.10.2005;;
S25;Scuola Superiore per Mediatori Linguistici CIELS;Non Statale;;;028060;PADOVA;PD;SSML - LING;D.M. 12.3.2010 di istituzione, pubblicato su G.U. n. 75 del 31.10.2010;;
P01;Universita Pontificia Gregoriana;Non Statale;;;058091;ROMA;RM;PONT;Università confessionale;;
993;Ente di Formazione Professionale (Generico);Statale;;;999999;COMUNE NON FORNITO;99;ALTRO;in data 3/5/2011;;
P02;Universita Pontificia Salesiana;Non Statale;;;058091;ROMA;RM;PONT;Università confessionale;;
994;Scuola di servizio Sociale (Generico);Statale;;;999999;COMUNE NON FORNITO;99;ALTRO;in virtù di sgegnalazione scuola di Noto http://alturl.com/6z5h5;;
995;Ente Sanitario (generico);Non Statale;;;999999;COMUNE NON FORNITO;99;ALTRO;Aziende sanitarie nazionali, ospedali, Croce Rossa Italiana, istituti privati convenzionati ed autorizzati a rilasciare dei titoli di studio abilitanti alle professioni sanitarie.;;
P03;Universita Pontificia Lateranense;Non Statale;;;058091;ROMA;RM;PONT;Università confessionale - Riconoscimento da Decreto ministeriale 02 luglio 2004;;
I01;Istituto Superiore di Scienze Religiose (generico);Non Statale;;;999999;COMUNE NON FORNITO;99;PONT;Istituto Superiore di Scienze Religiose;;
T01;Conservatorio di Musica "AGOSTINO STEFFANI";Statale;;;026012;CASTELFRANCO VENETO;TV;AFAM - CONS;Conservatorio di musica;;
996;Università Pontificia (generica);Statale;;;999999;COMUNE NON FORNITO;99;PONT;Codifica generale per l'Università Pontificia;;
P09;Facoltà di Teologia dell'Italia Centrale;Non Statale;;;048017;FIRENZE;FI;PONT;;;
P04;Facoltà di Teologia dell'Emilia Romagna;Non Statale;;;037006;BOLOGNA;BG;PONT;;;
P11;Facoltà di Teologia di Sicilia;Non Statale;;;082053;PALERMO;PA;PONT;;;
P07;Facoltà di Teologia dell'Italia Settentrionale;Non Statale;;;015146;MILANO;MI;PONT;;;
P12;Facoltà di Teologia della Sardegna;Non Statale;;;092009;CAGLIARI;CA;PONT;;;
P06;Facoltà di Teologia dell'Italia Meridionale;Non Statale;;;063049;NAPOLI;NA;PONT;;;
P10;Facoltà di Teologia Pugliese;Non Statale;;;072006;BARI;BA;PONT;;;
T02;Conservatorio di Musica "ALFREDO CASELLA";Statale;;;066049;L'AQUILA;AQ;AFAM - CONS;Conservatorio di musica;;
P08;Facoltà di Teologia del Triveneto;Non Statale;;;028060;PADOVA;PD;PONT;;;
T03;Conservatorio di Musica "ANTONIO BUZZOLLA";Statale;;;029001;ADRIA;RO;AFAM - CONS;Conservatorio di musica;;
T04;Conservatorio di Musica "ANTONIO SCONTRINO";Statale;;;081021;TRAPANI;TP;AFAM - CONS;Conservatorio di musica;;
T05;Conservatorio di Musica "ANTONIO VIVALDI";Statale;;;006003;ALESSANDRIA;AL;AFAM - CONS;Conservatorio di musica;;
T06;Conservatorio di Musica "ARCANGELO CORELLI";Statale;;;083048;MESSINA;ME;AFAM - CONS;Conservatorio di musica;;
T07;Conservatorio di Musica "ARRIGO BOITO";Statale;;;034027;PARMA;PR;AFAM - CONS;Conservatorio di musica;;
T08;Conservatorio di Musica "ARRIGO PEDROLLO";Statale;;;024116;VICENZA;VI;AFAM - CONS;Conservatorio di musica;;
T09;Conservatorio di Musica "BENEDETTO MARCELLO";Statale;;;027042;VENEZIA;VE;AFAM - CONS;Conservatorio di musica;;
T10;Conservatorio di Musica "BRUNO MADERNA";Statale;;;040007;CESENA;FC;AFAM - CONS;Conservatorio di musica;;
T11;Conservatorio di Musica "CESARE POLLINI";Statale;;;028060;PADOVA;PD;AFAM - CONS;Conservatorio di musica;;
